Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,AvgSpeed,Date,Hour,Day,Week
02/11/2012 09:00,1083,5,SB_MID,2,South,508,16994,02/11/2012,9,Friday,Weekdays
02/11/2012 09:00,1083,6,SB_NS,2,South,602,16161,02/11/2012,9,Friday,Weekdays
02/11/2012 10:00,1083,1,NB_NS,1,North,550,14486,02/11/2012,10,Friday,Weekdays
02/11/2012 10:00,1083,2,NB_MID,1,North,682,16024,02/11/2012,10,Friday,Weekdays
02/11/2012 10:00,1083,3,NB_OS,1,North,572,17432,02/11/2012,10,Friday,Weekdays
02/11/2012 10:00,1083,4,SB_OS,2,South,429,17295,02/11/2012,10,Friday,Weekdays
02/11/2012 10:00,1083,5,SB_MID,2,South,482,16960,02/11/2012,10,Friday,Weekdays
02/11/2012 10:00,1083,6,SB_NS,2,South,547,16243,02/11/2012,10,Friday,Weekdays
02/11/2012 11:00,1083,1,NB_NS,1,North,540,14973,02/11/2012,11,Friday,Weekdays
02/11/2012 11:00,1083,2,NB_MID,1,North,665,16333,02/11/2012,11,Friday,Weekdays
02/11/2012 11:00,1083,3,NB_OS,1,North,489,17501,02/11/2012,11,Friday,Weekdays
02/11/2012 11:00,1083,4,SB_OS,2,South,441,17029,02/11/2012,11,Friday,Weekdays
02/11/2012 11:00,1083,5,SB_MID,2,South,579,16899,02/11/2012,11,Friday,Weekdays
02/11/2012 11:00,1083,6,SB_NS,2,South,681,15864,02/11/2012,11,Friday,Weekdays
02/11/2012 12:00,1083,1,NB_NS,1,North,571,14677,02/11/2012,12,Friday,Weekdays
02/11/2012 12:00,1083,2,NB_MID,1,North,676,16483,02/11/2012,12,Friday,Weekdays
02/11/2012 12:00,1083,3,NB_OS,1,North,565,17697,02/11/2012,12,Friday,Weekdays
02/11/2012 12:00,1083,4,SB_OS,2,South,546,16550,02/11/2012,12,Friday,Weekdays
02/11/2012 12:00,1083,5,SB_MID,2,South,623,16633,02/11/2012,12,Friday,Weekdays
02/11/2012 12:00,1083,6,SB_NS,2,South,700,15348,02/11/2012,12,Friday,Weekdays
02/11/2012 13:00,1083,1,NB_NS,1,North,605,14229,02/11/2012,13,Friday,Weekdays
02/11/2012 13:00,1083,2,NB_MID,1,North,660,15856,02/11/2012,13,Friday,Weekdays
02/11/2012 13:00,1083,3,NB_OS,1,North,579,17052,02/11/2012,13,Friday,Weekdays
02/11/2012 13:00,1083,4,SB_OS,2,South,582,16898,02/11/2012,13,Friday,Weekdays
02/11/2012 13:00,1083,5,SB_MID,2,South,705,16563,02/11/2012,13,Friday,Weekdays
02/11/2012 13:00,1083,6,SB_NS,2,South,800,15627,02/11/2012,13,Friday,Weekdays
02/11/2012 14:00,1083,1,NB_NS,1,North,572,14333,02/11/2012,14,Friday,Weekdays
02/11/2012 14:00,1083,2,NB_MID,1,North,600,15868,02/11/2012,14,Friday,Weekdays
02/11/2012 14:00,1083,3,NB_OS,1,North,542,16960,02/11/2012,14,Friday,Weekdays
02/11/2012 14:00,1083,4,SB_OS,2,South,653,16044,02/11/2012,14,Friday,Weekdays
02/11/2012 14:00,1083,5,SB_MID,2,South,793,15772,02/11/2012,14,Friday,Weekdays
02/11/2012 14:00,1083,6,SB_NS,2,South,884,15133,02/11/2012,14,Friday,Weekdays
02/11/2012 15:00,1083,1,NB_NS,1,North,757,13993,02/11/2012,15,Friday,Weekdays
02/11/2012 15:00,1083,2,NB_MID,1,North,588,15740,02/11/2012,15,Friday,Weekdays
02/11/2012 15:00,1083,3,NB_OS,1,North,597,16776,02/11/2012,15,Friday,Weekdays
02/11/2012 15:00,1083,4,SB_OS,2,South,753,16284,02/11/2012,15,Friday,Weekdays
02/11/2012 15:00,1083,5,SB_MID,2,South,808,15595,02/11/2012,15,Friday,Weekdays
02/11/2012 15:00,1083,6,SB_NS,2,South,1034,14708,02/11/2012,15,Friday,Weekdays
02/11/2012 16:00,1083,1,NB_NS,1,North,1016,12334,02/11/2012,16,Friday,Weekdays
02/11/2012 16:00,1083,2,NB_MID,1,North,766,14560,02/11/2012,16,Friday,Weekdays
02/11/2012 16:00,1083,3,NB_OS,1,North,814,15736,02/11/2012,16,Friday,Weekdays
02/11/2012 16:00,1083,4,SB_OS,2,South,828,15505,02/11/2012,16,Friday,Weekdays
02/11/2012 16:00,1083,5,SB_MID,2,South,908,14971,02/11/2012,16,Friday,Weekdays
02/11/2012 16:00,1083,6,SB_NS,2,South,1269,13998,02/11/2012,16,Friday,Weekdays
02/11/2012 17:00,1083,1,NB_NS,1,North,1033,11887,02/11/2012,17,Friday,Weekdays
02/11/2012 17:00,1083,2,NB_MID,1,North,760,14496,02/11/2012,17,Friday,Weekdays
02/11/2012 17:00,1083,3,NB_OS,1,North,768,15622,02/11/2012,17,Friday,Weekdays
02/11/2012 17:00,1083,4,SB_OS,2,South,880,15508,02/11/2012,17,Friday,Weekdays
02/11/2012 17:00,1083,5,SB_MID,2,South,907,14817,02/11/2012,17,Friday,Weekdays
02/11/2012 17:00,1083,6,SB_NS,2,South,1236,13617,02/11/2012,17,Friday,Weekdays
02/11/2012 18:00,1083,1,NB_NS,1,North,760,13513,02/11/2012,18,Friday,Weekdays
02/11/2012 18:00,1083,2,NB_MID,1,North,619,15434,02/11/2012,18,Friday,Weekdays
02/11/2012 18:00,1083,3,NB_OS,1,North,619,16355,02/11/2012,18,Friday,Weekdays
02/11/2012 18:00,1083,4,SB_OS,2,South,538,16657,02/11/2012,18,Friday,Weekdays
02/11/2012 18:00,1083,5,SB_MID,2,South,724,16281,02/11/2012,18,Friday,Weekdays
02/11/2012 18:00,1083,6,SB_NS,2,South,830,15510,02/11/2012,18,Friday,Weekdays
02/11/2012 19:00,1083,1,NB_NS,1,North,471,15120,02/11/2012,19,Friday,Weekdays
02/11/2012 19:00,1083,2,NB_MID,1,North,510,16444,02/11/2012,19,Friday,Weekdays
02/11/2012 19:00,1083,3,NB_OS,1,North,417,17448,02/11/2012,19,Friday,Weekdays
02/11/2012 19:00,1083,4,SB_OS,2,South,341,17434,02/11/2012,19,Friday,Weekdays
02/11/2012 19:00,1083,5,SB_MID,2,South,512,17142,02/11/2012,19,Friday,Weekdays
02/11/2012 19:00,1083,6,SB_NS,2,South,525,16403,02/11/2012,19,Friday,Weekdays
02/11/2012 20:00,1083,1,NB_NS,1,North,327,15900,02/11/2012,20,Friday,Weekdays
02/11/2012 20:00,1083,2,NB_MID,1,North,352,16982,02/11/2012,20,Friday,Weekdays
02/11/2012 20:00,1083,3,NB_OS,1,North,248,17884,02/11/2012,20,Friday,Weekdays
02/11/2012 20:00,1083,4,SB_OS,2,South,250,17231,02/11/2012,20,Friday,Weekdays
02/11/2012 20:00,1083,5,SB_MID,2,South,358,17408,02/11/2012,20,Friday,Weekdays
02/11/2012 20:00,1083,6,SB_NS,2,South,389,16747,02/11/2012,20,Friday,Weekdays
02/11/2012 21:00,1083,1,NB_NS,1,North,247,16013,02/11/2012,21,Friday,Weekdays
02/11/2012 21:00,1083,2,NB_MID,1,North,289,17338,02/11/2012,21,Friday,Weekdays
