Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[2]	[[532.8199999999999, 1205.18]]	1	1.0	1.0	5	234.33745845671427	9969	1959	0.2	1171.6872922835714	236	236	34	34	1
[3, 2, 4]	['23', [-124.30000000000001, 500.435], '2']	1	0.14619883040935672	0.14619883040935672	1	314.41291559639365	9993	1994	0.6	314.41291559639365	75	513	11	74	1
[2]	[[-124.30000000000001, 526.645]]	0	0.9749967779353009	0.9749967779353009	5	317.2724788414843	9994	1997	0.2	1564.772931541204	7565	7759	1089	1117	1
[2]	[[-124.30000000000001, 664.365]]	0	0.9649372493207401	0.9649372493207401	1	317.2724788387927	9994	2105	0.2	312.95458630002656	7458	7729	1089	1128	1
[2, 1]	[[1273.637515755533, 1363.555], '2']	1	1.0	1.0	1	90.0	9535	2121	0.4	90.0	7	7	1	1	1
[1, 3, 2]	['2', '21', [607.585, 1008.415]]	1	1.0	1.0	1	258.4824173783238	9969	2148	0.6	258.4824173783238	87	87	13	13	1
[2]	[[-124.30000000000001, 601.76]]	0	0.9710201940729085	0.9710201940729085	1	317.2724788387927	9994	2164	0.2	312.95458630002656	7405	7626	1089	1121	1
[2]	[[-124.30000000000001, 690.085]]	0	0.9642110762800418	0.9642110762800418	2	317.2724788387927	9994	2188	0.2	625.9091726000531	7382	7656	1089	1129	1
[2]	[[-82.60000000000002, 434.6]]	0	0.9770666666666666	0.9770666666666666	1	320.3325665518554	9994	2215	0.2	322.29323288530094	7328	7500	1085	1110	1
[2, 0]	[[532.8199999999999, 661.3463446123955], '6']	1	1.0	1.0	2	260.568958464	9865	2246	0.4	521.137916928	14	14	2	2	1
[2, 1]	[[1205.18, 1247.834682845868], '2']	1	0.1	1.0	1	102.55212693628164	2246	2246	0.4	102.55212693628164	0	0	0	0	1
[2]	[[83.97999999999999, 446.02]]	0	0.9738838634374088	0.9738838634374088	1	317.1161255643309	9994	2275	0.2	312.477433973178	6675	6854	996	1022	1
[2, 4]	[[734.47, 1160.53], '2']	1	1.0	1.0	1	203.90086504109473	9602	2302	0.4	203.90086504109473	59	59	9	9	1
[2, 1]	[[617.47, 134.3], '2']	1	0.1	1.0	1	82.14708479999999	2302	2302	0.4	82.14708479999999	0	0	0	0	1
[2, 0, 4]	[[764.5162923604619, 960.2106467917815], '5', '2']	1	1.0	1.0	1	189.95999999999998	9547	2360	0.6	189.95999999999998	7	7	1	1	1
[2]	[[395.795, 874.2049999999999]]	1	0.5261324041811847	0.5261324041811847	1	251.4055680812683	9993	2425	0.2	254.00696010158538	151	287	23	44	1
[4, 2, 3]	['2', [-124.30000000000001, 407.41499999999996], '23']	1	0.125	0.125	1	327.5636557356193	9943	2462	0.6	327.5636557356193	59	472	9	72	1
[3, 4, 2]	['23', '2', [-106.065, 424.065]]	1	0.13778705636743216	0.13778705636743216	1	327.51614561117515	9943	2462	0.6	327.51614561117515	66	479	10	73	1
[1, 3, 0]	['2', '23', '4']	0	0.9470517448856799	0.9470517448856799	1	316.1548018061722	9894	2515	0.6	314.69350225771524	787	831	121	128	1
[4, 3]	['1', '22']	1	0.11885245901639344	0.11885245901639344	1	283.0732834041895	9967	2530	0.4	293.59160425523686	58	488	9	75	1
[2]	[[-124.30000000000001, 330.065]]	0	0.9763444520081688	0.9763444520081688	1	325.9365256892978	9983	2607	0.2	319.7161271711372	5737	5876	893	914	1
[1, 4]	['2', '2']	1	0.1313617606602476	0.1313617606602476	1	312.61230528726094	9993	2623	0.4	312.61230528726094	191	1454	30	228	1
[2]	[[487.28499999999997, 1146.7150000000001]]	1	1.0	1.0	3	235.27711989326235	9969	2690	0.2	705.831359679787	195	195	31	31	1
[1, 4, 3]	['2', '2', '23']	1	0.163135593220339	0.163135593220339	1	313.36240913737686	9993	2738	0.6	313.36240913737686	77	472	12	75	1
[4, 3, 0]	['1', '21', '5']	1	0.11320754716981132	0.11320754716981132	1	313.93918438941523	9668	2756	0.6	313.93918438941523	18	159	3	25	1
[2, 1]	[[413.065, 528.9409752975268], '2']	0	0.7560975609756098	0.7560975609756098	1	242.15302447045823	9904	2793	0.4	242.4412805880728	62	82	10	13	1
[2, 0]	[[532.8199999999999, 134.3], '6']	1	0.1	1.0	1	138.19313939073348	2842	2842	0.4	138.19313939073348	0	0	0	0	1
