LaneNumber	LaneDirection	Volume	Hour	DayNumber	Class
4	2	176	22	3	0
5	2	292	22	3	0
6	2	388	22	3	0
4	2	102	23	3	0
5	2	186	23	3	0
6	2	233	23	3	0
4	2	230	21	4	0
5	2	309	21	4	0
6	2	334	21	4	0
4	2	166	22	4	0
5	2	289	22	4	0
6	2	293	22	4	0
4	2	136	23	4	0
5	2	281	23	4	0
6	2	316	23	4	0
4	2	160	21	0	0
5	2	255	21	0	0
6	2	291	21	0	0
4	2	118	22	0	0
5	2	205	22	0	0
6	2	244	22	0	0
4	2	51	23	0	0
5	2	105	23	0	0
6	2	109	23	0	0
4	2	214	21	1	0
5	2	321	21	1	0
6	2	313	21	1	0
4	2	174	22	1	0
5	2	239	22	1	0
6	2	326	22	1	0
4	2	67	23	1	0
5	2	128	23	1	0
6	2	152	23	1	0
4	2	235	21	2	0
5	2	337	21	2	0
6	2	318	21	2	0
4	2	243	22	2	0
5	2	361	22	2	0
6	2	416	22	2	0
4	2	72	23	2	0
5	2	126	23	2	0
6	2	165	23	2	0
4	2	223	21	3	0
5	2	333	21	3	0
6	2	330	21	3	0
4	2	200	22	3	0
5	2	290	22	3	0
6	2	360	22	3	0
4	2	93	23	3	0
5	2	182	23	3	0
6	2	237	23	3	0
4	2	246	21	4	0
5	2	321	21	4	0
6	2	344	21	4	0
4	2	176	22	4	0
5	2	306	22	4	0
6	2	376	22	4	0
4	2	121	23	4	0
5	2	265	23	4	0
6	2	240	23	4	0
4	2	187	21	0	0
5	2	299	21	0	0
6	2	296	21	0	0
4	2	114	22	0	0
5	2	201	22	0	0
6	2	267	22	0	0
4	2	60	23	0	0
5	2	104	23	0	0
6	2	133	23	0	0
4	2	262	21	1	0
5	2	329	21	1	0
6	2	296	21	1	0
4	2	155	22	1	0
5	2	269	22	1	0
6	2	308	22	1	0
4	2	70	23	1	0
5	2	130	23	1	0
6	2	152	23	1	0
4	2	635	21	2	1
5	2	637	21	2	1
6	2	819	21	2	1
4	2	1151	22	2	1
5	2	1004	22	2	1
6	2	1115	22	2	1
4	2	159	23	2	1
5	2	285	23	2	1
6	2	411	23	2	1
4	2	209	21	3	0
5	2	386	21	3	0
6	2	375	21	3	0
4	2	157	22	3	0
5	2	288	22	3	0
6	2	337	22	3	0
4	2	77	23	3	0
5	2	166	23	3	0
6	2	191	23	3	0
4	2	223	21	4	0
5	2	336	21	4	0
6	2	356	21	4	0
4	2	184	22	4	0
5	2	339	22	4	0
6	2	373	22	4	0
4	2	147	23	4	0
5	2	349	23	4	0
6	2	304	23	4	0
4	2	209	21	0	0
5	2	322	21	0	0
6	2	309	21	0	0
4	2	132	22	0	0
5	2	221	22	0	0
6	2	281	22	0	0
4	2	58	23	0	0
5	2	112	23	0	0
6	2	121	23	0	0
4	2	660	21	1	1
5	2	674	21	1	1
6	2	816	21	1	1
4	2	889	22	1	1
5	2	814	22	1	1
6	2	1060	22	1	1
4	2	118	23	1	1
5	2	207	23	1	1
6	2	288	23	1	1
4	2	216	21	2	0
5	2	317	21	2	0
6	2	320	21	2	0
4	2	170	22	2	0
5	2	290	22	2	0
6	2	351	22	2	0
4	2	66	23	2	0
5	2	180	23	2	0
6	2	170	23	2	0
4	2	203	21	3	0
5	2	333	21	3	0
6	2	358	21	3	0
4	2	181	22	3	0
5	2	319	22	3	0
6	2	402	22	3	0
4	2	127	23	3	0
5	2	266	23	3	0
6	2	280	23	3	0
4	2	221	21	4	0
5	2	363	21	4	0
6	2	317	21	4	0
4	2	226	22	4	0
5	2	344	22	4	0
6	2	379	22	4	0
4	2	185	23	4	0
5	2	308	23	4	0
6	2	324	23	4	0
4	2	194	21	0	0
5	2	268	21	0	0
6	2	275	21	0	0
4	2	147	22	0	0
5	2	236	22	0	0
6	2	312	22	0	0
4	2	69	23	0	0
5	2	132	23	0	0
6	2	147	23	0	0
4	2	220	21	1	0
5	2	330	21	1	0
6	2	362	21	1	0
4	2	182	22	1	0
5	2	281	22	1	0
